Crocs,Water level,Temp,Year,Month
0.000000000000000000e+00, -10, 3.310000000000000142e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.289999999999999858e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.360000000000000142e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.320000000000000284e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.229999999999999716e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.169999999999999929e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.260000000000000142e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.370000000000000284e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.410000000000000142e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.339999999999999858e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.010000000000000142e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.030000000000000071e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.030000000000000071e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.180000000000000071e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.250000000000000000e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.379999999999999716e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.329999999999999716e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.289999999999999858e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.339999999999999858e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.339999999999999858e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.200000000000000000e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.200000000000000000e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.180000000000000071e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.160000000000000142e+01, 2.011000000000000000e+03, 3.000000000000000000e+00
0.000000000000000000e+00, -10, 3.229999999999999716e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.310000000000000142e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.289999999999999858e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
1.000000000000000000e+00, -10, 3.210000000000000142e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.030000000000000071e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.130000000000000071e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.110000000000000142e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.270000000000000284e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.100000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.919999999999999929e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.800000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.680000000000000071e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.750000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.869999999999999929e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.910000000000000142e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.950000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.000000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.150000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.200000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.150000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.150000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.200000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 3.260000000000000142e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.880000000000000071e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.680000000000000071e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.689999999999999858e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.650000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.800000000000000000e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.910000000000000142e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.919999999999999929e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.769999999999999929e+01, 2.011000000000000000e+03, 4.000000000000000000e+00
0.000000000000000000e+00, -10, 2.700000000000000000e+01, 2.011000000000000000e+03, 5.000000000000000000e+00
0.000000000000000000e+00, -10, 2.750000000000000000e+01, 2.011000000000000000e+03, 5.000000000000000000e+00
0.000000000000000000e+00, -10, 2.819999999999999929e+01, 2.011000000000000000e+03, 5.000000000000000000e+00
0.000000000000000000e+00, -10, 2.880000000000000071e+01, 2.011000000000000000e+03, 5.000000000000000000e+00
0.000000000000000000e+00, -10, 2.919999999999999929e+01, 2.011000000000000000e+03, 5.000000000000000000e+00
