,Location,Count
385,horne road bees creek,2
386,leanyer dump,1
387,185 gulnare rd,1
388,lake 9 durack lakes,1
389,big horse boat ramp timber creek,1
390,"21 secrett rd, knuckeys lagoon",1
391,taminmin college,1
392,taminmin collage,2
393,630 bees creek rd,1
394,sandy creek trap,2
395,litchfield wangi upstream,5
396,bynoe hbr pearl farm,1
397,635 bees ck rd,1
398,tipperary station,1
399,vanderlin drive next to crocodylus park,1
400,wearyan river,1
401,timber creek area,1
402,galloping jacks (katherine),4
403,"10 gulnare rd, bees creek",1
404,imaluk creek,1
405,45 belgrave road bees creek,2
406,mandorah no name creek,1
407,two fella,2
408,west b,75
409,upstream berry 2,24
410,berry mouth a,47
411,inpex trap,5
412,constant road coolallinga,1
413,inpex,4
414,16 benson court knuckeys lagoon,1
415,wickham point lng plant,1
416,35 gaden circuit jingili,1
417,berrimah sewage,2
418,"158 gulnare road, bees creek",1
419,darwin river weeds,2
420,west a,48
421,whitestone crossing,2
422,bees creek crossing,1
423,horne road culvert,1
424,hicks road howard river,1
425,katherine gorge,1
426,sandy creek,11
427,darwin river weeds trap,1
428,west arm a,1
429,bing bong,2
430,bachelor white stone crossing,1
431,middle arm mid stream,1
432,berry trap 1,2
433,325 gulnare road,1
434,edith falls,1
435,88 townend road,1
436,360 lowther road virginia,1
437,245 gulnare road,1
438,"bees cr, 620",1
439,rocky creek,3
440,5 mile mcarthur river,1
441,horne road culvert bees creek,1
442,520 whitewood road,2
443,berry springs pool,1
444,23florenz court virginia,1
445,305 bees creek rd,1
446,stuart highway near farm,1
447,60 levey road virginia,1
448,lake 10 durack,1
449,150 horne road bees creek,1
450,millar road,1
451,135 power road humpty doo,1
452,harrisons dam,6
453,elizabeth valley station,1
454,inpex accomodation,1
455,aaco abbatoir,1
456,lake bennet,1
457,syrimi road east arm,1
458,45 belgrave road,1
459,syrimi road hudson creek,2
460,litchfield wangi downstream,1
461,humpty doo dump,1
462,east arm port,1
463,605 bees creek road,2
464,upstream berry 2.1,20
465,northlakes golf club,1
466,645 bees creek road,1
467,15 mccauley street bees creek,1
468,speargrass lease hold,1
469,"no name creek, mandorah",2
470,"sandy creek, litchfield np",1
471,690 bees creek road,1
472,belgrave road,3
473,satosa road humpty doo,1
474,culvert off roystonea av.,1
475,620 bees creek road,1
476,40 darwent street malak,1
477,"big horse creek, timber creek",1
478,1 banyan st fannie bay,1
479,580 bees creek road,1
480,micketts creek aerial farm,1
481,horsnell road,2
482,19 horsnellrd noonamah,1
483,boral quarries,1
484,douglas daly tourist park,1
485,179 gulnare road,1
486,darwin city,1
487,barra farm middile arm,1
488,10 mccauley road bees creek,1
489,sandy creek litchfield,2
490,weddell power station,1
491,elrundie avenue moulden,1
492,upstream rapid creek (near airport),1
493,10 horne road bees creek,1
494,63 darwent street malak,1
495,main pool berry springs,1
496,upstream berry 3,8
497,fogg dam radio station,1
498,gulnare road/bate place elizabeth river,1
499,big horse river- timber creek,1
500,middle arm barra farm,1
501,110 horne road bees creek,2
502,karama,1
503,holmes jungle drain,1
504,630 bees creek road,2
505,manton dam half trap near ramp,1
506,lower wangi,2
507,cox penninsula road,1
508,360 bees creek road,1
509,75 kinnerley rd virginia,1
510,crocodylus park,1
511,redcliffe road h/doo,1
512,255 doxas rd,1
513,darwin barra adventures boat ramp,1
514,marlow lagoon,1
515,barra farm boat ramp middle arm,1
516,49 miles road batchelor,1
517,white stone batchelor,2
518,dundee beach,1
519,dundee,2
520,borroloola road bridge,1
521,9 darwin river road,1
522,flat rock ferguson river,3
523,big horse river,1
524,roystonea avenue saltwater culvert,1
525,junction of berry and hardies,1
526,595 bees creek road,1
527,connellans lagoon,1
528,whitestone crossing bachelor,1
529,no name creek mandorah,6
530,big horse river timber creek,1
531,anzac parade middle point,1
532,arnhem hway marrakai,1
533,darwin port ponds,1
534,elizabeth valley/noonamah,1
535,"10 horne road, bees creek",1
536,sandy creek (litchfield),1
537,"ironstone lagoon nursery, knuckeys lagoon",1
538,waterhouse river mataranka,1
539,"flat rock, fergusson river",1
540,adealiade river culvert,1
541,whitestone batchelor,7
542,gunn point,2
543,gunn point culvert,4
544,"flat rock, ferguson river",1
545,flora np,3
546,howard springs quarry,4
547,upstream wangi,2
548,bees creek/jenkins road,1
549,"rapid creek, trower road bridge",1
550,90 horne road,2
551,king river,1
552,lower wangi litchfield,1
553,barramundi adventures darwin. middle arm,1
554,sandy creek litchfield np,1
555,mataranka,1
556,"120 warren road, lambells lagoon",1
557,gunn point fish traps,2
558,bonson fish trap,1
559,h. doo sewage ponds,1
560,no name creek. mandorah,1
561,adelaide river culvert,2
562,elizabeth valley noonamah,1
563,bonson fish traps,1
564,ferguson river - flat rock,1
565,barra adventures darwin,4
566,edith river - leylin,1
567,"25 belgrave road, bees creek",1
568,jilkmingan roper river,1
569,girraween lagoon,2
570,lee point beach,2
571,5 mile,1
572,"urapunga, wilton river, roper river",1
573,75 cavalcade road h/doo,1
574,barra adventures darwin - middle arm,1
575,paspaley ponds (off channel island road),1
576,390 gulnare road,1
577,"30 horne road, bees creek",1
578,gunn point road culvert,8
579,barra adventures darwin (middle arm),1
580,no name creek (mandorah),1
581,robertson barracks quarry,7
582,70 canarium road lambells lagoon,1
583,lambells lagoon,1
584,outside janamba farm fence line,1
585,upper wangi,1
